current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Apache 207,Wieso tust Du dir das an?,SME - Two Sides,1,1,2019-10-25,2019-10-31,2019,10
2,Tones And I,Dance Monkey,Bad Batch Records,11,1,2019-10-25,2019-10-31,2019,10
3,Apache 207,Roller,SME - Two Sides,9,1,2019-10-25,2019-10-31,2019,10
4,Capital Bra x Samra & Lea,110,Universal Domestic Urban,5,1,2019-10-25,2019-10-31,2019,10
5,RIN & Bausa,Keine Liebe,SME - Division,1,5,2019-10-25,2019-10-31,2019,10
6,Apache 207,200 km/h,SME - Two Sides,5,4,2019-10-25,2019-10-31,2019,10
7,Sido feat. Apache 207,2002,Universal Domestic Urban,4,6,2019-10-25,2019-10-31,2019,10
8,RAF Camora feat. Ghetto Phenomene,Puta madre,Indipendenza,2,5,2019-10-25,2019-10-31,2019,10
9,Regard,Ride It,SME - Ministry Of Sound,5,9,2019-10-25,2019-10-31,2019,10
10,The Cratez & Bonez MC,Honda Civic,SME - RBK,4,5,2019-10-25,2019-10-31,2019,10
11,Tim Bendzko,Hoch,SME - Jive Germany,10,10,2019-10-25,2019-10-31,2019,10
12,Travis Scott,Highest In The Room,SME - Cacts Jack,3,8,2019-10-25,2019-10-31,2019,10
13,Capital Bra & Samra,Berlin lebt wie nie zuvor,Universal Domestic Urban,3,5,2019-10-25,2019-10-31,2019,10
14,Veysel & Jugglerz,Normal,Universal Domestic Urban,1,14,2019-10-25,2019-10-31,2019,10
15,Lena x Nico Santos,Better,Universal Domestic Polydor,10,15,2019-10-25,2019-10-31,2019,10
16,Capo,Im Rhythmus gefangen,Warner Music Germany,2,11,2019-10-25,2019-10-31,2019,10
17,Apache 207,Kein Problem,SME - Two Sides,9,17,2019-10-25,2019-10-31,2019,10
18,Capital Bra x Samra,Tilidin,Universal Domestic Urban,18,1,2019-10-25,2019-10-31,2019,10
19,Loredana feat. Mero,Kein Plan,Loredana,7,1,2019-10-25,2019-10-31,2019,10
20,Summer Cem feat. Luciano,Summer Cem,Banger Musik,5,6,2019-10-25,2019-10-31,2019,10
21,Shawn Mendes & Camila Cabello,SeÃ±orita,Island,18,1,2019-10-25,2019-10-31,2019,10
22,Ed Sheeran feat. Khalid,Beautiful People,Atlantic,17,5,2019-10-25,2019-10-31,2019,10
23,Loredana,Genick,Loredana,6,3,2019-10-25,2019-10-31,2019,10
24,Blackbear,Hot Girl Bummer,Interscope,3,24,2019-10-25,2019-10-31,2019,10
25,Lewis Capaldi,Someone You Loved,Universal Domestic Vertigo,38,18,2019-10-25,2019-10-31,2019,10
26,Post Malone,Circles,Republic Records,8,17,2019-10-25,2019-10-31,2019,10
27,LUM!X & Gabry Ponte,Monster,Spinnin' Records,13,20,2019-10-25,2019-10-31,2019,10
28,RIN,FabergÃ©,SME - Division,4,7,2019-10-25,2019-10-31,2019,10
29,Loredana feat. Mozzik,Eiskalt,Loredana,12,2,2019-10-25,2019-10-31,2019,10
30,Samra x Capital Bra,Huracan,Universal Domestic Urban,7,3,2019-10-25,2019-10-31,2019,10
31,RAF Camora,Adriana,Indipendenza,5,7,2019-10-25,2019-10-31,2019,10
32,Mark Forster,194 LÃ¤nder,SME - Four Music,5,32,2019-10-25,2019-10-31,2019,10
33,Billie Eilish,Bad Guy,Universal,30,4,2019-10-25,2019-10-31,2019,10
34,Vize feat. Laniia,Stars,Kontor Records,18,18,2019-10-25,2019-10-31,2019,10
35,Juju feat. Henning May,Vermissen,Jinx Music,25,1,2019-10-25,2019-10-31,2019,10
36,Lil Nas X,Old Town Road,SME - Columbia,30,1,2019-10-25,2019-10-31,2019,10
37,Kalim feat. Nimo,Lowrider,Universal Domestic Urban,2,15,2019-10-25,2019-10-31,2019,10
38,RAF Camora & AriBeatz feat. Sofiane,Perfekt,SME - Andere Liga,18,5,2019-10-25,2019-10-31,2019,10
39,Dardan feat. Xiara,Genauso,Hypnotize Entertainment,8,19,2019-10-25,2019-10-31,2019,10
40,Meduza feat. Goodboys,Piece Of Your Heart,Virgin Records,25,4,2019-10-25,2019-10-31,2019,10
41,Lotte & Max Giesinger,"Auf das, was da noch kommt",SME - Columbia,7,40,2019-10-25,2019-10-31,2019,10
42,Shirin David & Xavier Naidoo,Nur mit dir,Juicy Money Records,5,8,2019-10-25,2019-10-31,2019,10
43,LEA,110 (Prolog),SME - Four Music,1,43,2019-10-25,2019-10-31,2019,10
44,Apache 207,2 Minuten,SME - Two Sides,15,35,2019-10-25,2019-10-31,2019,10
45,Maroon 5,Memories,222 Records,5,45,2019-10-25,2019-10-31,2019,10
46,Trettmann & KitschKrieg feat. Alli Neumann,Zeit steht,Soulforce/BMG,6,10,2019-10-25,2019-10-31,2019,10
47,DJ Snake & J Balvin feat. Tyga,Loco contigo,Geffen Records,19,3,2019-10-25,2019-10-31,2019,10
48,Ed Sheeran & Justin Bieber,I Don't Care,Atlantic,24,2,2019-10-25,2019-10-31,2019,10
49,The Chainsmokers & Illenium feat. Lennon Stella,Takeaway,SME - Columbia,13,30,2019-10-25,2019-10-31,2019,10
50,Capital Bra & Samra & Santos,Purple Rain,Universal Domestic Urban,1,50,2019-10-25,2019-10-31,2019,10
51,Jamule,Moneyhoneydrip,Life Is Pain,4,23,2019-10-25,2019-10-31,2019,10
52,Kygo x Whitney Houston,Higher Love,SME - RCA International,17,22,2019-10-25,2019-10-31,2019,10
53,Dimitri Vegas & Like Mike / David Guetta / Daddy Yankee / Afro Bros / Natti Natasha,Instagram,SME - Epic,13,29,2019-10-25,2019-10-31,2019,10
54,Sarah Connor,Vincent,Universal Domestic Polydor,29,9,2019-10-25,2019-10-31,2019,10
55,RIN,Up In Smoke,SME - Division,8,2,2019-10-25,2019-10-31,2019,10
56,Samra & Capital Bra,Wieder Lila,Universal Domestic Urban,23,1,2019-10-25,2019-10-31,2019,10
57,Capital Bra x Samra,Nummer 1,Universal Domestic Urban,9,1,2019-10-25,2019-10-31,2019,10
58,Sido feat. Johannes Oerding,Pyramiden,Universal Domestic Urban,5,38,2019-10-25,2019-10-31,2019,10
59,Ed Sheeran feat. Camila Cabello & Cardi B,South Of The Border,Atlantic,6,33,2019-10-25,2019-10-31,2019,10
60,Apache 207,Brot nach Hause,SME - Two Sides,12,49,2019-10-25,2019-10-31,2019,10
61,Sam Smith,How Do You Sleep?,Capitol,14,43,2019-10-25,2019-10-31,2019,10
62,Capital Bra & Samra,Lieber Gott,Universal Domestic Urban,1,62,2019-10-25,2019-10-31,2019,10
63,Dermot Kennedy,Outnumbered,Interscope,3,63,2019-10-25,2019-10-31,2019,10
64,Selena Gomez,Lose You To Love Me,Interscope,1,64,2019-10-25,2019-10-31,2019,10
65,Olexesh & Nimo,Augen Husky,385ideal,6,14,2019-10-25,2019-10-31,2019,10
66,Kummer,Bei Dir,Eklat TontrÃ¤ger,3,61,2019-10-25,2019-10-31,2019,10
67,SSIO,Hash Hash,Alles Oder Nix Records,4,8,2019-10-25,2019-10-31,2019,10
68,Summer Cem,Primetime,Banger Musik,8,9,2019-10-25,2019-10-31,2019,10
69,Loredana,Jetzt rufst du an,Loredana,16,2,2019-10-25,2019-10-31,2019,10
70,Sam Feldt feat. Rani,Post Malone,Spinnin' Records,4,70,2019-10-25,2019-10-31,2019,10
71,Seeed,Gâ‚¬ld,BMG,5,59,2019-10-25,2019-10-31,2019,10
72,Younotus & Janieck & Senex,Narcotic,SME - B1 Recordings,20,16,2019-10-25,2019-10-31,2019,10
73,Blanco Brown,The Git Up,Broken Bow Records,12,42,2019-10-25,2019-10-31,2019,10
74,Capo,Run Run Run,Warner Music Germany,12,6,2019-10-25,2019-10-31,2019,10
75,Dan + Shay / Justin Bieber,"10,000 Hours",Warner Music International,3,47,2019-10-25,2019-10-31,2019,10
76,Harry Styles,Lights Up,SME - Columbia,2,50,2019-10-25,2019-10-31,2019,10
77,Ufo361 & Ezhel,Wir sind Kral,Universal Domestic Urban,2,29,2019-10-25,2019-10-31,2019,10
78,Sido feat. Monchi,Leben vor dem Tod,Universal Domestic Urban,12,22,2019-10-25,2019-10-31,2019,10
79,Camila Cabello,Liar,SME - Syco Music,7,63,2019-10-25,2019-10-31,2019,10
80,Mika [DE],Paradies,SME - Columbia Domestic,7,20,2019-10-25,2019-10-31,2019,10
81,Y2K & bbno$,Lalala,SME - Columbia,14,46,2019-10-25,2019-10-31,2019,10
82,Bonez MC & RAF Camora,500 PS,Universal Domestic Vertigo,64,1,2019-10-25,2019-10-31,2019,10
83,Gringo,Pink Panther,SME - SLS Music,2,69,2019-10-25,2019-10-31,2019,10
84,Post Malone feat. Young Thug,Goodbyes,Republic Records,16,16,2019-10-25,2019-10-31,2019,10
85,R3hab x A Touch Of Class,All Around The World (La La La),Virgin Records,21,29,2019-10-25,2019-10-31,2019,10
86,Sugar MMFK feat. LX & Maxwell,Bon appÃ©tit,Bantu Nation,1,86,2019-10-25,2019-10-31,2019,10
87,Capital Bra & Samra,So alleine,Universal Domestic Urban,1,87,2019-10-25,2019-10-31,2019,10
88,Ava Max,Torn,Atlantic,2,88,2019-10-25,2019-10-31,2019,10
89,Luciano feat. Ufo361 & Lil Baby,Fendi Drip,Universal Domestic Urban,8,6,2019-10-25,2019-10-31,2019,10
90,Bausa,Mary,Warner Music Germany,30,8,2019-10-25,2019-10-31,2019,10
91,Mabel [UK],Don't Call Me Up,Polydor,36,10,2019-10-25,2019-10-31,2019,10
92,Bausa & Zuna,Biturbo,Warner Music Germany,3,26,2019-10-25,2019-10-31,2019,10
93,OneRepublic,Rescue Me,Interscope,23,24,2019-10-25,2019-10-31,2019,10
94,Fero47,Schau mich an,SME - Epic,5,14,2019-10-25,2019-10-31,2019,10
95,Meduza x Becky Hill x Goodboys,Lose Control,Virgin Records,2,95,2019-10-25,2019-10-31,2019,10
96,Samra x Capital Bra,Zombie,Universal Domestic Urban,14,1,2019-10-25,2019-10-31,2019,10
97,Mabel [UK],Mad Love,Polydor,17,54,2019-10-25,2019-10-31,2019,10
98,Lady Gaga & Bradley Cooper,Shallow,Interscope,56,4,2019-10-25,2019-10-31,2019,10
99,Summer Cem feat. Capital Bra,Diamonds,Banger Musik,19,3,2019-10-25,2019-10-31,2019,10
100,SDP feat. Capital Bra,Viva la Dealer,Berliner Plattenbau,24,38,2019-10-25,2019-10-31,2019,10
